onset	duration	sample	value
2019.193478	100	2019193.4775	128 
2021.605474	100	2021605.4741	666 
2024.60748	100	2024607.4795	124 
2024.800478	100	2024800.4779	125 
2024.801999	1	2024801.9993	DIN1
2024.860476	100	2024860.4755	128 
2027.062475	100	2027062.4753	124 
2027.247477	100	2027247.4773	127 
2027.248999	1	2027248.9987	DIN1
2027.307475	100	2027307.4749	128 
2029.709474	100	2029709.4736	124 
2029.90047	100	2029900.4703	125 
2029.902002	1	2029902.0019	DIN1
2029.960478	100	2029960.478	128 
2032.262477	100	2032262.4772	124 
2032.451472	100	2032451.4724	126 
2032.453004	1	2032453.0039	DIN1
