onset	duration	sample	value
1038.083349	100	1038083.3491	105 
1038.269347	100	1038269.3469	106 
1038.274	1	1038274.0002	DIN1
1038.329355	100	1038329.3546	109 
1040.731353	100	1040731.3532	105 
1040.92235	100	1040922.35	107 
1040.927999	1	1040927.9991	DIN1
1040.982348	100	1040982.3477	109 
1043.384346	100	1043384.3463	105 
1043.575353	100	1043575.3531	106 
1043.579996	1	1043579.9964	DIN1
1043.635351	100	1043635.3508	109 
1046.037349	100	1046037.3494	105 
1046.228346	100	1046228.3462	106 
1046.233	1	1046232.9995	DIN1
1046.288354	100	1046288.3539	109 
1048.690353	100	1048690.3525	105 
1048.882355	100	1048882.3551	106 
1048.886003	1	1048886.0026	DIN1
1048.942353	100	1048942.3528	109 
1051.143347	100	1051143.3467	105 
1051.329354	100	1051329.3545	107 
1051.333998	1	1051333.9978	DIN1
1051.389352	100	1051389.3522	109 
1053.691351	100	1053691.3513	105 
1053.879351	100	1053879.3507	106 
1053.884004	1	1053884.0041	DIN1
1053.939348	100	1053939.3484	109 
1056.141348	100	1056141.3481	105 
1056.32635	100	1056326.3501	106 
1056.331003	1	1056331.0035	DIN1
1056.386348	100	1056386.3478	109 
1058.788346	100	1058788.3464	105 
1058.979353	100	1058979.3532	108 
1058.983997	1	1058983.9965	DIN1
1059.039351	100	1059039.3509	109 
1061.44135	100	1061441.3495	105 
1061.632346	100	1061632.3463	106 
1061.637	1	1061636.9997	DIN1
1061.692354	100	1061692.354	109 
1063.994353	100	1063994.3532	105 
1064.183348	100	1064183.3483	107 
1064.188002	1	1064188.0017	DIN1
1064.243346	100	1064243.346	109 
1066.644349	100	1066644.3489	105 
1066.836351	100	1066836.3515	106 
1066.839999	1	1066839.999	DIN1
1066.896349	100	1066896.3491	109 
1069.098349	100	1069098.3488	105 
1069.283351	100	1069283.3509	106 
1069.286998	1	1069286.9984	DIN1
1069.343349	100	1069343.3485	109 
1071.745347	100	1071745.3472	105 
1071.936354	100	1071936.354	108 
1071.940997	1	1071940.9973	DIN1
1071.996352	100	1071996.3516	109 
1074.197356	100	1074197.3556	105 
1074.383353	100	1074383.3534	106 
1074.387001	1	1074387.0009	DIN1
1074.443351	100	1074443.351	109 
1076.645351	100	1076645.3508	105 
1076.830353	100	1076830.3528	106 
1076.834	1	1076834.0003	DIN1
1076.89035	100	1076890.3504	109 
1079.093346	100	1079093.3459	105 
1079.278348	100	1079278.3479	106 
1079.281	1	1079280.9997	DIN1
1079.338356	100	1079338.3557	109 
1081.639349	100	1081639.349	105 
1081.828354	100	1081828.3542	106 
1081.830996	1	1081830.9959	DIN1
1081.888352	100	1081888.3519	109 
1084.289355	100	1084289.3548	105 
1084.481347	100	1084481.3473	106 
1084.485005	1	1084485.0049	DIN1
1084.541355	100	1084541.355	109 
1086.743355	100	1086743.3547	105 
1086.928347	100	1086928.3467	106 
1086.932004	1	1086932.0043	DIN1
1086.988354	100	1086988.3544	109 
1089.290354	100	1089290.3536	105 
1089.478353	100	1089478.353	107 
1089.482001	1	1089482.0005	DIN1
1089.538351	100	1089538.3506	109 
1091.84035	100	1091840.3498	105 
1092.028349	100	1092028.3492	106 
1092.031997	1	1092031.9967	DIN1
1092.088347	100	1092088.3469	109 
1094.390346	100	1094390.346	105 
1094.579351	100	1094579.3512	107 
1094.582999	1	1094582.9988	DIN1
1094.639349	100	1094639.3489	109 
1097.041348	100	1097041.3475	105 
1097.232354	100	1097232.3544	108 
1097.234996	1	1097234.9961	DIN1
1097.292352	100	1097292.352	109 
1099.593355	100	1099593.3554	105 
1099.782351	100	1099782.3506	106 
1099.785002	1	1099785.0024	DIN1
1099.842348	100	1099842.3482	109 
1102.243351	100	1102243.3511	105 
1102.435354	100	1102435.3537	106 
1102.438005	1	1102438.0055	DIN1
1102.495351	100	1102495.3514	109 
1104.699353	100	1104699.3527	105 
1104.882353	100	1104882.3531	108 
1104.886001	1	1104886.0006	DIN1
1104.942351	100	1104942.3508	109 
1107.24435	100	1107244.3499	105 
1107.432349	100	1107432.3493	106 
1107.435001	1	1107435.0011	DIN1
1107.492347	100	1107492.347	109 
1109.794346	100	1109794.3462	105 
1109.983351	100	1109983.3514	106 
1109.984997	1	1109984.9973	DIN1
1110.043349	100	1110043.349	109 
1112.444352	100	1112444.3519	105 
1112.636354	100	1112636.3545	106 
1112.638996	1	1112638.9962	DIN1
1112.696352	100	1112696.3522	109 
1114.997356	100	1114997.3556	105 
1115.186351	100	1115186.3507	107 
1115.189002	1	1115189.0025	DIN1
1115.246348	100	1115246.3484	109 
1117.647351	100	1117647.3512	105 
1117.839354	100	1117839.3538	106 
1117.842006	1	1117842.0056	DIN1
1117.899351	100	1117899.3515	109 
1120.201351	100	1120201.3507	105 
1120.38935	100	1120389.3501	106 
1120.392002	1	1120392.0018	DIN1
1120.449348	100	1120449.3477	109 
1122.751347	100	1122751.3469	105 
1122.939346	100	1122939.3463	106 
1122.941998	1	1122941.9981	DIN1
1122.999354	100	1122999.354	109 
1125.201354	100	1125201.3537	105 
1125.387352	100	1125387.3515	106 
1125.388997	1	1125388.9975	DIN1
1125.447349	100	1125447.3492	109 
1127.649349	100	1127649.3489	105 
1127.834351	100	1127834.3509	107 
1127.837003	1	1127837.0027	DIN1
1127.894349	100	1127894.3486	109 
1130.295351	100	1130295.3514	105 
1130.487354	100	1130487.354	106 
1130.489	1	1130489	DIN1
1130.547352	100	1130547.3517	109 
1132.749351	100	1132749.3514	105 
1132.934353	100	1132934.3534	106 
1132.935999	1	1132935.9994	DIN1
1132.994351	100	1132994.3511	109 
1135.39635	100	1135396.3497	105 
1135.587346	100	1135587.3465	108 
1135.589998	1	1135589.9983	DIN1
1135.647354	100	1135647.3542	109 
1138.049353	100	1138049.3528	105 
1138.241355	100	1138241.3554	108 
1138.243001	1	1138243.0014	DIN1
1138.300347	100	1138300.3473	109 
1140.502347	100	1140502.347	105 
1140.688355	100	1140688.3548	106 
1140.690001	1	1140690.0008	DIN1
1140.748352	100	1140748.3525	109 
1143.049346	100	1143049.3458	105 
1143.238351	100	1143238.351	106 
1143.239997	1	1143239.997	DIN1
1143.298349	100	1143298.3487	109 
1145.700347	100	1145700.3473	105 
1145.891354	100	1145891.3542	106 
1145.893	1	1145893.0001	DIN1
1145.951352	100	1145951.3518	109 
1148.253351	100	1148253.351	105 
1148.44135	100	1148441.3504	106 
1148.442996	1	1148442.9963	DIN1
1148.501348	100	1148501.348	109 
1150.703348	100	1150703.3478	105 
1150.88835	100	1150888.3498	108 
1150.890006	1	1150890.0058	DIN1
1150.948347	100	1150948.3474	109 
1153.150347	100	1153150.3472	105 
1153.335349	100	1153335.3492	106 
1153.337005	1	1153337.0052	DIN1
1153.395347	100	1153395.3469	109 
1155.798351	100	1155798.3513	105 
1155.989348	100	1155989.3481	107 
1155.991004	1	1155991.0041	DIN1
1156.049346	100	1156049.3457	109 
1158.25035	100	1158250.3497	105 
1158.436347	100	1158436.3475	107 
1158.438003	1	1158438.0035	DIN1
1158.496355	100	1158496.3552	109 
1160.798354	100	1160798.3544	105 
1160.986354	100	1160986.3538	106 
1160.987004	1	1160987.0039	DIN1
1161.046351	100	1161046.3514	109 
1163.348351	100	1163348.3506	105 
1163.53635	100	1163536.35	106 
1163.537	1	1163537.0002	DIN1
1163.596348	100	1163596.3476	109 
1165.897351	100	1165897.3511	105 
1166.086346	100	1166086.3462	108 
1166.088002	1	1166088.0022	DIN1
1166.146354	100	1166146.3539	109 
1168.548353	100	1168548.3526	105 
1168.739349	100	1168739.3493	106 
1168.741005	1	1168741.0053	DIN1
1168.799347	100	1168799.347	109 
1171.001347	100	1171001.3467	105 
1171.187355	100	1171187.3545	106 
1171.188005	1	1171188.0047	DIN1
1171.247352	100	1171247.3522	109 
1173.448346	100	1173448.3461	105 
1173.634354	100	1173634.354	106 
1173.635004	1	1173635.0041	DIN1
1173.694352	100	1173694.3516	109 
1175.995355	100	1175995.355	105 
1176.18435	100	1176184.3502	108 
1176.185	1	1176185.0004	DIN1
1176.244348	100	1176244.3478	109 
1178.546347	100	1178546.347	105 
1178.734346	100	1178734.3464	108 
1178.734997	1	1178734.9966	DIN1
1178.794354	100	1178794.3541	109 
1181.096353	100	1181096.3533	105 
1181.284353	100	1181284.3527	107 
1181.285999	1	1181285.9986	DIN1
1181.34435	100	1181344.3504	109 
1183.746349	100	1183746.349	105 
1183.937346	100	1183937.3457	106 
1183.937996	1	1183937.9959	DIN1
1183.997353	100	1183997.3535	109 
1186.299353	100	1186299.3526	105 
1186.488348	100	1186488.3478	107 
1186.488998	1	1186488.998	DIN1
1186.548356	100	1186548.3555	109 
1188.749349	100	1188749.3494	105 
1188.935002	1	1188935.0016	DIN1
1188.935347	100	1188935.3472	106 
1188.995355	100	1188995.3549	109 
1191.197355	100	1191197.3546	105 
1191.382001	1	1191382.001	DIN1
1191.382347	100	1191382.3466	106 
1191.442354	100	1191442.3543	109 
1193.643348	100	1193643.3482	105 
1193.829	1	1193829.0004	DIN1
1193.829346	100	1193829.346	106 
1193.889354	100	1193889.3537	109 
1196.291352	100	1196291.3524	105 
1196.482004	1	1196482.0035	DIN1
1196.482349	100	1196482.3491	106 
1196.542347	100	1196542.3468	109 
1198.945351	100	1198945.3512	105 
1199.135352	100	1199135.3522	106 
1199.136002	1	1199136.0024	DIN1
1199.19535	100	1199195.3499	109 
1201.39735	100	1201397.3496	105 
1201.583002	1	1201583.0018	DIN1
1201.583347	100	1201583.3474	106 
1201.643355	100	1201643.3551	109 
1204.044348	100	1204044.3479	105 
1204.236005	1	1204236.0049	DIN1
1204.236351	100	1204236.3505	106 
1204.296348	100	1204296.3482	109 
1206.498348	100	1206498.3479	105 
1206.683004	1	1206683.0043	DIN1
1206.68335	100	1206683.3499	106 
1206.743348	100	1206743.3476	109 
1208.945347	100	1208945.3473	105 
1209.130004	1	1209130.0037	DIN1
1209.130349	100	1209130.3493	106 
1209.190347	100	1209190.347	109 
1211.392347	100	1211392.3467	105 
1211.577003	1	1211577.0031	DIN1
1211.577349	100	1211577.3487	106 
1211.637346	100	1211637.3464	109 
1213.939356	100	1213939.3556	105 
1214.126999	1	1214126.9993	DIN1
1214.127355	100	1214127.355	106 
1214.187353	100	1214187.3527	109 
1216.488346	100	1216488.346	110 
1218.107	416.667	1218107	boundary
1218.215803	100	1218215.8031	119 
1219.7288	100	1219728.8003	666 
1281.728796	100	1281728.796	666 
1371.728801	100	1371728.8007	666 
1412.7288	100	1412728.7995	666 
1505.728798	100	1505728.798	666 
1518.218803	100	1518218.8027	120 
1518.706	14.227	1518706	boundary
1518.805828	100	1518805.8278	121 
1523.318829	100	1523318.8288	666 
1587.318834	100	1587318.8337	666 
1686.31883	100	1686318.8298	666 
1705.318837	100	1705318.8374	666 
1761.318835	100	1761318.8354	666 
1818.807832	100	1818807.8316	122 
1819.292	95.412	1819292	boundary
1819.375471	100	1819375.4706	123 
1819.378478	100	1819378.478	124 
1819.382471	100	1819382.4712	125 
1819.383477	100	1819383.477	128 
1819.403999	1	1819403.9986	DIN1
1821.685476	100	1821685.4762	124 
1821.869472	100	1821869.4724	125 
1821.876003	1	1821876.0029	DIN1
1821.92948	100	1821929.4801	128 
1824.13148	100	1824131.4798	124 
1824.316472	100	1824316.4718	125 
1824.323002	1	1824323.0023	DIN1
1824.376479	100	1824376.4795	128 
1826.678479	100	1826678.4787	124 
1826.866478	100	1826866.4781	125 
1826.874004	1	1826874.0043	DIN1
1826.926476	100	1826926.4757	128 
1829.228475	100	1829228.4749	124 
1829.416474	100	1829416.4743	125 
1829.424001	1	1829424.0005	DIN1
1829.476472	100	1829476.4719	128 
1831.678472	100	1831678.4717	124 
1831.863474	100	1831863.4737	125 
1831.871	1	1831870.9999	DIN1
1831.923471	100	1831923.4713	128 
1834.125471	100	1834125.4711	124 
1834.310473	100	1834310.4731	125 
1834.317999	1	1834317.9993	DIN1
1834.370471	100	1834370.4707	128 
1836.67248	100	1836672.48	124 
1836.861475	100	1836861.4751	127 
1836.868006	1	1836868.0056	DIN1
1836.921473	100	1836921.4728	128 
1839.122477	100	1839122.4768	124 
1839.308475	100	1839308.4745	125 
1839.315005	1	1839315.005	DIN1
1839.368472	100	1839368.4722	128 
1841.669476	100	1841669.4756	124 
1841.858471	100	1841858.4708	125 
1841.865001	1	1841865.0013	DIN1
1841.918478	100	1841918.4785	128 
1844.329479	100	1844329.4793	666 
1847.331475	100	1847331.4747	124 
1847.525479	100	1847525.4789	125 
1847.531999	1	1847531.9993	DIN1
1847.585477	100	1847585.4765	128 
1849.787476	100	1849787.4762	124 
1849.972478	100	1849972.4783	125 
1849.978999	1	1849978.9987	DIN1
1850.032476	100	1850032.4759	128 
1852.434475	100	1852434.4746	124 
1852.625471	100	1852625.4713	125 
1852.632002	1	1852632.0018	DIN1
1852.685479	100	1852685.479	128 
1855.088473	100	1855088.4734	124 
1855.278474	100	1855278.4744	126 
1855.286001	1	1855286.0007	DIN1
1855.338472	100	1855338.4721	128 
1857.641477	100	1857641.4771	124 
1857.829476	100	1857829.4765	126 
1857.835997	1	1857835.9969	DIN1
1857.889474	100	1857889.4741	128 
1860.090478	100	1860090.4781	124 
1860.276476	100	1860276.4759	125 
1860.282001	1	1860282.0005	DIN1
1860.336474	100	1860336.4735	128 
1862.737476	100	1862737.4764	124 
1862.929479	100	1862929.479	125 
1862.935004	1	1862935.0037	DIN1
1862.989477	100	1862989.4766	128 
1865.291476	100	1865291.4758	124 
1865.479475	100	1865479.4752	127 
1865.486006	1	1865486.0057	DIN1
1865.539473	100	1865539.4729	128 
1867.940476	100	1867940.4757	124 
1868.132478	100	1868132.4783	125 
1868.138999	1	1868138.9988	DIN1
1868.192476	100	1868192.476	128 
1870.604473	100	1870604.4726	666 
1873.606478	100	1873606.478	124 
1873.799476	100	1873799.4764	125 
1873.805001	1	1873805.001	DIN1
1873.859474	100	1873859.474	128 
1876.261473	100	1876261.4727	124 
1876.453475	100	1876453.4752	125 
1876.459	1	1876458.9999	DIN1
1876.513473	100	1876513.4729	128 
1878.915472	100	1878915.4715	124 
1879.106478	100	1879106.4783	125 
1879.112003	1	1879112.003	DIN1
1879.166476	100	1879166.476	128 
1881.467479	100	1881467.4794	124 
1881.656475	100	1881656.4746	127 
1881.661999	1	1881661.9992	DIN1
1881.716472	100	1881716.4722	128 
1883.917476	100	1883917.4762	124 
1884.103474	100	1884103.474	125 
1884.108999	1	1884108.9986	DIN1
1884.163472	100	1884163.4716	128 
1886.365471	100	1886365.4714	124 
1886.550473	100	1886550.4734	125 
1886.555998	1	1886555.998	DIN1
1886.610471	100	1886610.471	128 
1889.01248	100	1889012.4797	124 
1889.203476	100	1889203.4765	126 
1889.209997	1	1889209.9969	DIN1
1889.263474	100	1889263.4741	128 
1891.465474	100	1891465.4739	124 
1891.650476	100	1891650.4759	125 
1891.656001	1	1891656.0006	DIN1
1891.710474	100	1891710.4735	128 
1894.112472	100	1894112.4722	124 
1894.304475	100	1894304.4748	125 
1894.309004	1	1894309.0037	DIN1
1894.364472	100	1894364.4724	128 
1896.566472	100	1896566.4722	124 
1896.751474	100	1896751.4742	127 
1896.756999	1	1896756.9988	DIN1
1896.811472	100	1896811.4718	128 
1899.122473	100	1899122.4732	666 
1902.124479	100	1902124.4786	124 
1902.315475	100	1902315.4754	126 
1902.321	1	1902321	DIN1
1902.375473	100	1902375.473	128 
1904.677472	100	1904677.4722	124 
1904.865472	100	1904865.4716	125 
1904.87	1	1904870.0005	DIN1
1904.925479	100	1904925.4793	128 
1907.327478	100	1907327.478	124 
1907.518475	100	1907518.4747	127 
1907.523999	1	1907523.9994	DIN1
1907.578472	100	1907578.4724	128 
1909.981477	100	1909981.4768	124 
1910.171478	100	1910171.4778	125 
1910.175997	1	1910175.9967	DIN1
1910.231475	100	1910231.4755	128 
1912.433475	100	1912433.4752	124 
1912.619473	100	1912619.473	127 
1912.624002	1	1912624.0019	DIN1
1912.679471	100	1912679.4707	128 
1915.080474	100	1915080.4735	124 
1915.272476	100	1915272.4761	126 
1915.277005	1	1915277.005	DIN1
1915.332474	100	1915332.4738	128 
1917.533478	100	1917533.4777	124 
1917.719476	100	1917719.4755	125 
1917.724004	1	1917724.0044	DIN1
1917.779473	100	1917779.4732	128 
1920.180476	100	1920180.476	124 
1920.372479	100	1920372.4786	125 
1920.376997	1	1920376.9975	DIN1
1920.432476	100	1920432.4763	128 
1922.63348	100	1922633.4802	124 
1922.819478	100	1922819.478	125 
1922.823997	1	1922823.9969	DIN1
1922.879476	100	1922879.4757	128 
1925.191473	100	1925191.4728	666 
1928.193478	100	1928193.4782	124 
1928.383479	100	1928383.4792	125 
1928.387998	1	1928387.9981	DIN1
1928.443477	100	1928443.4769	128 
1930.845476	100	1930845.4755	124 
1931.036472	100	1931036.4723	125 
1931.041001	1	1931041.0012	DIN1
1931.09648	100	1931096.48	128 
1933.498479	100	1933498.4786	124 
1933.690471	100	1933690.4712	125 
1933.694004	1	1933694.0043	DIN1
1933.750479	100	1933750.4789	128 
1936.051472	100	1936051.4722	124 
1936.240477	100	1936240.4774	126 
1936.244996	1	1936244.9963	DIN1
1936.300475	100	1936300.4751	128 
1938.502475	100	1938502.4748	124 
1938.687477	100	1938687.4768	125 
1938.691	1	1938690.9999	DIN1
1938.747475	100	1938747.4745	128 
1941.149473	100	1941149.4731	124 
1941.34048	100	1941340.48	125 
1941.344003	1	1941344.003	DIN1
1941.400478	100	1941400.4776	128 
1943.601472	100	1943601.4715	124 
1943.787479	100	1943787.4794	125 
1943.791002	1	1943791.0024	DIN1
1943.847477	100	1943847.477	128 
1946.059475	100	1946059.4747	666 
1949.06148	100	1949061.4801	124 
1949.248474	100	1949248.4737	125 
1949.251997	1	1949251.9967	DIN1
1949.308471	100	1949308.4713	128 
1951.610471	100	1951610.4705	124 
1951.79848	100	1951798.48	125 
1951.802003	1	1951802.003	DIN1
1951.858478	100	1951858.4776	128 
1954.060477	100	1954060.4773	124 
1954.246475	100	1954246.4751	127 
1954.249998	1	1954249.9982	DIN1
1954.305477	100	1954305.477	128 
1956.707476	100	1956707.4757	124 
1956.899478	100	1956899.4782	125 
1956.902006	1	1956902.0055	DIN1
1956.959476	100	1956959.4759	128 
1959.260479	100	1959260.4793	124 
1959.449474	100	1959449.4745	125 
1959.452002	1	1959452.0018	DIN1
1959.509472	100	1959509.4721	128 
1961.710476	100	1961710.4761	124 
1961.896474	100	1961896.4739	126 
1961.899997	1	1961899.9969	DIN1
1961.956472	100	1961956.4715	128 
1964.258471	100	1964258.4707	124 
1964.44648	100	1964446.4802	125 
1964.450003	1	1964450.0032	DIN1
1964.506478	100	1964506.4778	128 
1966.808477	100	1966808.477	124 
1966.996476	100	1966996.4764	126 
1966.999999	1	1966999.9994	DIN1
1967.056474	100	1967056.474	128 
