100 ,0.1626797096580267
101 ,300.16668514178696
boundary,300.66
102 ,300.7644154750891
103 ,600.7664092504568
boundary,601.259
104 ,601.3493343759719
105 ,601.3523418028299
106 ,601.3563349415008
109 ,601.3583365399782
DIN1,601.3759971575737
105 ,603.5603362638894
106 ,603.7633426059429
DIN1,603.7710052894354
109 ,603.8233402688447
105 ,606.2263346780483
106 ,606.4173414875213
DIN1,606.4239983426332
109 ,606.4773391504232
105 ,608.8793377895299
106 ,609.0703345407192
DIN1,609.0770014541149
109 ,609.1303422619048
105 ,611.4323414434139
106 ,611.620340826029
DIN1,611.6280035095215
109 ,611.6803384889308
105 ,614.0823371280376
106 ,614.2733338792268
DIN1,614.2809965627193
109 ,614.3333416004125
105 ,616.5353413243238
106 ,616.7203433383647
DIN1,616.7279959635734
109 ,616.7803410012666
105 ,619.1823396403734
108 ,619.3743422199432
DIN1,619.3809990750551
109 ,619.434339882845
105 ,621.6353438366596
106 ,621.8213416207973
DIN1,621.8279984759092
109 ,621.8813392836992
105 ,624.1823426951114
107 ,624.3713378478233
DIN1,624.3790005313158
109 ,624.4313355107251
105 ,626.8333341498319
106 ,627.0243409593049
DIN1,627.0309978144169
109 ,627.0843386222068
105 ,629.2863383461181
106 ,629.471340360159
DIN1,629.477997215271
109 ,629.5313380230609
105 ,631.83333720457
106 ,632.021336587185
DIN1,632.0280035005808
109 ,632.0813342500869
105 ,634.3833434898797
106 ,634.5723386425916
DIN1,634.5779997276068
109 ,634.6313405353967
105 ,636.9343354870025
108 ,637.1223348696176
DIN1,637.1290017830133
109 ,637.1823425908033
105 ,639.5833354015294
107 ,639.7753379810993
DIN1,639.782004894495
109 ,639.8353356440011
105 ,642.2373342831079
106 ,642.4283410925809
DIN1,642.4349979476929
109 ,642.4883387554828
105 ,644.8903373945896
106 ,645.0813341457788
DIN1,645.0880010591745
109 ,645.1413418669645
105 ,647.3443373609725
106 ,647.5283436049167
DIN1,647.5350004600286
109 ,647.5883412678186
105 ,649.9903399069253
106 ,650.1823424864951
DIN1,650.1880035715103
109 ,650.242340149397
105 ,652.643343018407
107 ,652.835335539693
DIN1,652.8420024530888
109 ,652.8953432608787
105 ,655.2963360716049
106 ,655.4883386511747
DIN1,655.4939997361898
109 ,655.5483363140766
105 ,657.9503349531833
106 ,658.1413417626563
DIN1,658.1470028476715
109 ,658.2013394255582
105 ,660.4043349195663
108 ,660.5883411635104
DIN1,660.5949980186224
109 ,660.6483388264123
105 ,663.0503374655191
106 ,663.2423400450889
DIN1,663.2480011301041
109 ,663.3023377079908
105 ,665.7033405770007
106 ,665.8953431565706
DIN1,665.9010042415857
109 ,665.9553408194724
105 ,668.1563347150031
106 ,668.3423425574247
DIN1,668.3480036424398
109 ,668.4023402203266
105 ,670.7033436317388
107 ,670.8923387844507
DIN1,670.8990056978464
109 ,670.9523364473525
105 ,673.3543350864593
106 ,673.5453418959323
DIN1,673.5510029809475
109 ,673.6053395588342
105 ,675.8073392827455
108 ,675.9923412967864
DIN1,675.9980023818016
109 ,676.0523389596883
105 ,678.3553339112941
106 ,678.543343352193
DIN1,678.5479986088276
109 ,678.6033410150949
105 ,680.8043349106256
106 ,680.9903427530471
DIN1,680.9949980096817
109 ,681.050340415949
105 ,683.2513343114797
106 ,683.4373421539012
DIN1,683.4419974105358
109 ,683.4973398168031
105 ,685.7993389983121
108 ,685.9873383809272
DIN1,685.9929994659424
